Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
0.05,7.38871e-05,0,0,0.00443323,0,0,0.00443323
0.1,0.000591097,0,0,0.0177329,0,0,0.0177329
0.15,0.00199495,0,0,0.0398991,0,0,0.0398991
0.2,0.00472878,0,0,0.0709317,0,0,0.0709317
0.25,0.00923589,0,0,0.110831,0,0,0.110831
0.3,0.0159587,0,0,0.159299,0,0,0.159299
0.35,0.0250985,0,0,0.204816,0,0,0.204816
0.4,0.0362925,0,0,0.241467,0,0,0.241467
0.45,0.0490974,0,0,0.269251,0,0,0.269251
0.5,0.0630698,0,0,0.288169,0,0,0.288169
0.55,0.0777665,0,0,0.29822,0,0,0.29822
0.6,0.0927477,0,0,0.3,0,0,0.3
0.65,0.107748,0,0,0.3,0,0,0.3
0.7,0.122748,0,0,0.3,0,0,0.3
0.75,0.137748,0,0,0.3,0,0,0.3
0.8,0.152748,0,0,0.3,0,0,0.3
0.85,0.167748,0,0,0.3,0,0,0.3
0.9,0.182748,0,0,0.3,0,0,0.3
0.95,0.197748,0,0,0.3,0,0,0.3
1,0.212748,0,0,0.3,0,0,0.3
1.05,0.227748,0,0,0.3,0,0,0.3
1.1,0.242748,0,0,0.3,0,0,0.3
1.15,0.257748,0,0,0.3,0,0,0.3
1.2,0.272748,0,0,0.3,0,0,0.3
1.25,0.287748,0,0,0.3,0,0,0.3
1.3,0.302748,0,0,0.3,0,0,0.3
1.35,0.317748,0,0,0.3,0,0,0.3
1.4,0.332748,0,0,0.3,0,0,0.3
1.45,0.347748,0,0,0.3,0,0,0.3
1.5,0.362748,0,0,0.3,0,0,0.3
1.55,0.377748,0,0,0.3,0,0,0.3
1.6,0.392748,0,0,0.3,0,0,0.3
1.65,0.407748,0,0,0.3,0,0,0.3
1.7,0.422748,0,0,0.3,0,0,0.3
1.75,0.437748,0,0,0.3,0,0,0.3
1.8,0.452748,0,0,0.3,0,0,0.3
1.85,0.467748,0,0,0.3,0,0,0.3
1.9,0.482748,0,0,0.3,0,0,0.3
1.95,0.497748,0,0,0.3,0,0,0.3
2,0.512748,0,0,0.3,0,0,0.3
2.05,0.527748,0,0,0.3,0,0,0.3
2.1,0.542748,0,0,0.3,0,0,0.3
2.15,0.557748,0,0,0.3,0,0,0.3
2.2,0.572748,0,0,0.3,0,0,0.3
2.25,0.587748,0,0,0.3,0,0,0.3
2.3,0.602748,0,0,0.3,0,0,0.3
2.35,0.617748,0,0,0.3,0,0,0.3
2.4,0.632748,0,0,0.3,0,0,0.3
2.45,0.647748,0,0,0.3,0,0,0.3
2.5,0.662748,0,0,0.3,0,0,0.3
2.55,0.677748,0,0,0.3,0,0,0.3
2.6,0.692748,0,0,0.3,0,0,0.3
2.65,0.707748,0,0,0.3,0,0,0.3
2.7,0.722748,0,0,0.3,0,0,0.3
2.75,0.737748,0,0,0.3,0,0,0.3
2.8,0.752748,0,0,0.3,0,0,0.3
2.85,0.767748,0,0,0.3,0,0,0.3
2.9,0.782748,0,0,0.3,0,0,0.3
2.95,0.797748,0,0,0.3,0,0,0.3
3,0.812748,0,0,0.3,0,0,0.3
3.05,0.827748,0,0,0.3,0,0,0.3
3.1,0.842748,0,0,0.3,0,0,0.3
3.15,0.857748,0,0,0.3,0,0,0.3
3.2,0.872748,0,0,0.3,0,0,0.3
3.25,0.887748,0,0,0.3,0,0,0.3
3.3,0.902748,0,0,0.3,0,0,0.3
3.35,0.917748,0,0,0.3,0,0,0.3
3.4,0.932748,0,0,0.3,0,0,0.3
3.45,0.947748,0,0,0.3,0,0,0.3
3.5,0.962748,0,0,0.3,0,0,0.3
3.55,0.977748,0,0,0.3,0,0,0.3
3.6,0.992748,0,0,0.3,0,0,0.3
3.65,1.00775,0,0,0.3,0,0,0.3
