timestamp,x,y,theta,left_vel,right_vel
0.0,0.019500000000000003,0.0,0.0,0.39,0.39
0.05,0.038500000000000006,0.0,0.0,0.38,0.38
0.1,0.05700000000000001,0.0,0.0,0.37,0.37
0.15000000000000002,0.07500000000000001,0.0,0.0,0.36,0.36
0.2,0.09250000000000001,0.0,0.0,0.35,0.35
0.25,0.10950000000000001,0.0,0.0,0.34,0.34
0.3,0.126,0.0,0.0,0.33,0.33
0.35,0.14200000000000002,0.0,0.0,0.32,0.32
0.39999999999999997,0.15750000000000003,0.0,0.0,0.31,0.31
0.44999999999999996,0.17250000000000004,0.0,0.0,0.3,0.3
0.49999999999999994,0.18700000000000006,0.0,0.0,0.29,0.29
0.5499999999999999,0.20100000000000007,0.0,0.0,0.28,0.28
0.6,0.21450000000000008,0.0,0.0,0.27,0.27
0.65,0.2275000000000001,0.0,0.0,0.26,0.26
0.7000000000000001,0.2400000000000001,0.0,0.0,0.25,0.25
0.7500000000000001,0.2520000000000001,0.0,0.0,0.24,0.24
0.8000000000000002,0.2635000000000001,0.0,0.0,0.23,0.23
0.8500000000000002,0.27450000000000013,0.0,0.0,0.22,0.22
0.9000000000000002,0.28500000000000014,0.0,0.0,0.21,0.21
0.9500000000000003,0.29500000000000015,0.0,0.0,0.2,0.2
1.0000000000000002,0.30450000000000016,0.0,0.0,0.19,0.19
1.0500000000000003,0.31350000000000017,0.0,0.0,0.18,0.18
1.1000000000000003,0.3220000000000002,0.0,0.0,0.17,0.17
1.1500000000000004,0.3300000000000002,0.0,0.0,0.16,0.16
1.2000000000000004,0.3375000000000002,0.0,0.0,0.15,0.15
1.2500000000000004,0.3445000000000002,0.0,0.0,0.14,0.14
1.3000000000000005,0.3510000000000002,0.0,0.0,0.13,0.13
1.3500000000000005,0.3570000000000002,0.0,0.0,0.12,0.12
1.4000000000000006,0.3625000000000002,0.0,0.0,0.11,0.11
1.4500000000000006,0.3675000000000002,0.0,0.0,0.1,0.1
1.5000000000000007,0.3720000000000002,0.0,0.0,0.09,0.09
1.5500000000000007,0.3760000000000002,0.0,0.0,0.08,0.08
1.6000000000000008,0.3795000000000002,0.0,0.0,0.07,0.07
1.6500000000000008,0.38250000000000023,0.0,0.0,0.06,0.06
1.7000000000000008,0.38500000000000023,0.0,0.0,0.05,0.05
1.7500000000000009,0.38700000000000023,0.0,0.0,0.04,0.04
1.800000000000001,0.38850000000000023,0.0,0.0,0.03,0.03
1.850000000000001,0.38950000000000023,0.0,0.0,0.02,0.02
1.900000000000001,0.39000000000000024,0.0,0.0,0.01,0.01
1.950000000000001,0.39000000000000024,0.0,0.0,0.0,0.0
2.000000000000001,0.38950000000000023,0.0,0.0,-0.01,-0.01
2.0500000000000007,0.38850000000000023,0.0,0.0,-0.02,-0.02
2.1000000000000005,0.38700000000000023,0.0,0.0,-0.03,-0.03
2.1500000000000004,0.38500000000000023,0.0,0.0,-0.04,-0.04
2.2,0.38250000000000023,0.0,0.0,-0.05,-0.05
2.25,0.3795000000000002,0.0,0.0,-0.06,-0.06
2.3,0.3760000000000002,0.0,0.0,-0.07,-0.07
2.3499999999999996,0.3720000000000002,0.0,0.0,-0.08,-0.08
2.3999999999999995,0.3675000000000002,0.0,0.0,-0.09,-0.09
2.4499999999999993,0.3625000000000002,0.0,0.0,-0.1,-0.1
2.499999999999999,0.3570000000000002,0.0,0.0,-0.11,-0.11
2.549999999999999,0.3510000000000002,0.0,0.0,-0.12,-0.12
2.5999999999999988,0.3445000000000002,0.0,0.0,-0.13,-0.13
2.6499999999999986,0.3375000000000002,0.0,0.0,-0.14,-0.14
2.6999999999999984,0.3300000000000002,0.0,0.0,-0.15,-0.15
2.7499999999999982,0.3220000000000002,0.0,0.0,-0.16,-0.16
2.799999999999998,0.31350000000000017,0.0,0.0,-0.17,-0.17
2.849999999999998,0.30450000000000016,0.0,0.0,-0.18,-0.18
2.8999999999999977,0.29500000000000015,0.0,0.0,-0.19,-0.19
2.9499999999999975,0.28500000000000014,0.0,0.0,-0.2,-0.2
2.9999999999999973,0.27450000000000013,0.0,0.0,-0.21,-0.21
3.049999999999997,0.2635000000000001,0.0,0.0,-0.22,-0.22
3.099999999999997,0.2520000000000001,0.0,0.0,-0.23,-0.23
3.149999999999997,0.2400000000000001,0.0,0.0,-0.24,-0.24
3.1999999999999966,0.2275000000000001,0.0,0.0,-0.25,-0.25
3.2499999999999964,0.21450000000000008,0.0,0.0,-0.26,-0.26
3.2999999999999963,0.20100000000000007,0.0,0.0,-0.27,-0.27
3.349999999999996,0.18700000000000006,0.0,0.0,-0.28,-0.28
3.399999999999996,0.17250000000000004,0.0,0.0,-0.29,-0.29
3.4499999999999957,0.15750000000000003,0.0,0.0,-0.3,-0.3
3.4999999999999956,0.14200000000000002,0.0,0.0,-0.31,-0.31
3.5499999999999954,0.126,0.0,0.0,-0.32,-0.32
3.599999999999995,0.1095,0.0,0.0,-0.33,-0.33
3.649999999999995,0.0925,0.0,0.0,-0.34,-0.34
3.699999999999995,0.075,0.0,0.0,-0.35,-0.35
3.7499999999999947,0.056999999999999995,0.0,0.0,-0.36,-0.36
3.7999999999999945,0.03849999999999999,0.0,0.0,-0.37,-0.37
3.8499999999999943,0.01949999999999999,0.0,0.0,-0.38,-0.38
3.899999999999994,-1.3877787807814457e-17,0.0,0.0,-0.39,-0.39
3.949999999999994,-0.020000000000000018,0.0,0.0,-0.4,-0.4
3.999999999999994,-0.03900000000000002,0.0,0.0,-0.38,-0.38
4.049999999999994,-0.05700000000000002,0.0,0.0,-0.36,-0.36
