time,x,y,theta,right_vel,left_vel
0.0,0.9999074743612455,0.01177903465429811,1.58454685201708,0.3534211118374024,0.2748134507401571
0.05,0.9997434822237232,0.023704528337745584,1.5943626321461755,0.38348176593329286,0.25260469754535314
0.1,0.9994564219913638,0.03588323367551684,1.6053605227159395,0.39817494963493144,0.25153640870474314
0.15,0.9990418020035335,0.04787410603332307,1.6175818413942697,0.4014231531758905,0.23847223746482057
0.2,0.9984590640900564,0.060320536823585576,1.6307082464488585,0.4197777703354149,0.24475903627423112
0.25,0.9976489265172193,0.07382649745018871,1.6448022323710945,0.454766208467453,0.26684639617097267
0.3,0.9966117440990399,0.08781576239552648,1.6592297618825211,0.4702544976312649,0.27788743747890987
0.35,0.9953204763669482,0.1023792571487574,1.6737179935285653,0.4864716139735624,0.2932951920263063
0.4,0.9938368648009288,0.11674328118641283,1.689205907640678,0.48833114453329446,0.28182562303845843
0.45,0.992155492595314,0.13087648528544527,1.7054721678262437,0.4879848241797746,0.2711013550389
0.5,0.9902098567577183,0.14523584277186105,1.7224380375784374,0.4995210234772397,0.2733094267813231
0.55,0.988188788097522,0.15846144684283764,1.7399342179752226,0.4734182039682444,0.24013579867777352
0.6000000000000001,0.9860108985758562,0.17121483821410563,1.7580565602922107,0.4658293097188926,0.22419807882571727
0.65,0.9833892264081483,0.18505096371257104,1.776884633168383,0.5010488271434027,0.250007855461105
0.7000000000000001,0.980583547034339,0.19847164338206127,1.7962595192576831,0.49478767130146994,0.23645585677746742
0.75,0.9774837773838579,0.21198633971993228,1.8163794900580281,0.5038831697773442,0.2356168924394094
0.8,0.974092834338949,0.2255153489181853,1.836604540741699,0.5067668404855774,0.23709949803663147
0.8500000000000001,0.9702064891319677,0.23979023713463324,1.8573462352113932,0.5327969559177885,0.2562410296551993
0.9,0.9660231485154518,0.25398744872615453,1.8785855484291765,0.5362811468369517,0.2530903039331737
0.95,0.9616933242981637,0.26760789107522437,1.9010737510143536,0.5310437421425348,0.2312010410068388
1.0,0.9572057814175207,0.2806974081559001,1.9241167164152395,0.5226169675324315,0.21537742885395392
1.05,0.9524855157260095,0.2934965357696325,1.9481469160223155,0.5239825356487138,0.2035798742210328
1.1,0.9477656851134274,0.3054049585878336,1.9727070976728323,0.5053254211637086,0.17785633249015245
1.15,0.9429564454452423,0.31671955547793335,1.9983470041623992,0.4987797083607102,0.1569142884998167
1.2000000000000002,0.9379840636753598,0.32763204162207055,2.024741250100204,0.495747050202695,0.14382377103196622
1.25,0.9329849659838113,0.3378775676785103,2.052993138113361,0.49234800417745034,0.11565616400201857
1.3,0.9275271578462195,0.3483050471282173,2.082492568495529,0.5105149191044328,0.11718918067552687
1.35,0.9213073703289524,0.35938040798315285,2.112909439702659,0.5415081380881204,0.13594985532639242
1.4,0.915050349076426,0.36976885638311285,2.1448237662256453,0.5361554909685677,0.11063113732874692
1.4500000000000002,0.9085195185319594,0.37986809921850023,2.1775730775629256,0.5390462195243458,0.10238873502727228
1.5,0.9015059465398653,0.3899721909080741,2.2115128795430703,0.5542576076458237,0.10172691457722934
1.55,0.8944089487229964,0.39948995378669355,2.2470840422548775,0.5537398853060546,0.07945771581529115
1.6,0.8870110640521047,0.4087080438831383,2.284156700769634,0.5623391926161981,0.06803707908610632
1.65,0.8793163209416921,0.41759970613489106,2.3225599850223513,0.5695914277041979,0.05754763766796918
1.7000000000000002,0.8711216118320542,0.4263650742578202,2.3620976035714945,0.5835673851365611,0.05639913781465136
1.75,0.8626492814767301,0.43473796421269556,2.402822372013436,0.5891405109777454,0.04614359841852125
1.8,0.8542438686238094,0.44239392596773025,2.4450870170937566,0.5849500118641021,0.02142141079315936
1.85,0.8455143919218057,0.44969467058237234,2.48885371703695,0.5952449421156569,0.01168894287308046
1.9,0.8366149227785655,0.456498628224135,2.5331457187336297,0.5940114217013595,0.0034513990789616887
1.95,0.827654425753589,0.46274059690998587,2.578504841393613,0.5936018188651808,-0.011186483267931143
2.0,0.819141606069176,0.46811439450594167,2.6247398130602666,0.5766882135843112,-0.03977807530440436
2.0500000000000003,0.8098706307379405,0.47338392834267096,2.67136532563398,0.5952076762736922,-0.026465824709151264
2.1,0.8010775943827998,0.47785300591251856,2.7183530609319106,0.5762802770725064,-0.050222860233238076
2.15,0.7923519486361533,0.4817835938414675,2.765836493599888,0.571758328767917,-0.06135410680511061
2.2,0.7833560913912765,0.4853324609364726,2.813494593047137,0.5756025035944513,-0.059838822368874854
2.25,0.7745235869244058,0.4883390557666151,2.8616779460112767,0.5700278516114672,-0.07241685457705768
2.3000000000000003,0.7644652117979321,0.4912304562259155,2.9097610274429697,0.5996395029612557,-0.04146824946131757
2.35,0.7537110487424026,0.4937692585511451,2.957357884708415,0.6119730637860974,-0.02265169975317318
2.4000000000000004,0.7421404018053305,0.49592542458256944,3.0042536244251496,0.6265004256039397,0.0012238960474765248
2.45,0.7303874958778105,0.4975497830258257,3.0510074219544743,0.6280819966801819,0.00469802962251744
2.5,0.719269380102644,0.4985596839402811,3.09701482523652,0.6044197054280318,-0.009012338332580415
2.5500000000000003,0.7078746932994883,0.49906797106381695,3.142170360117416,0.6051973751445376,0.0031235767325904686
2.6,0.6962439091494872,0.49906125188314465,3.1862620397061794,0.6040988263479783,0.01620976516446818
2.6500000000000004,0.6835773953592649,0.4984950698599319,3.229149926498556,0.6240302158167323,0.05219172525170988
2.7,0.6708272863177116,0.49737584352078656,3.270113570759513,0.6144013236435428,0.06821940016411801
2.75,0.6577683358776822,0.4956881929912191,3.3091592381987596,0.6114390938860244,0.09083019469606805
2.8000000000000003,0.6445901261528382,0.493459062646748,3.3465353396702517,0.6055849922017724,0.10723697258187727
2.85,0.6318723960867226,0.4908155422247274,3.382504970052686,0.5861859968210308,0.10659092505523728
2.9000000000000004,0.6196735012380694,0.48781847052127053,3.416961132021564,0.5646855294164417,0.1052700364980668
2.95,0.6072109738475262,0.48429722741219,3.4500123136699776,0.5656861188966464,0.12500369691779786
3.0,0.5942034885621019,0.48015322617308004,3.4807893212599152,0.5692239255819732,0.15886382438280686
3.0500000000000003,0.5812290184409848,0.47557540130463255,3.5101512756657822,0.5626368209081605,0.17114409549660298
3.1,0.5682037657197425,0.4705449722280755,3.537916386933383,0.5574445973407292,0.18724311377271574
3.1500000000000004,0.5550946742254977,0.4650592564633396,3.5644596443787595,0.5559045752161863,0.20199447594449932
3.2,0.5427867935179314,0.45952051678392897,3.589621686227114,0.5276595915986575,0.19216570028726335
3.25,0.5305875592938157,0.45365724156708787,3.613175017030625,0.5179585796064675,0.2039141688929851
3.3000000000000003,0.5182903312069282,0.44738616976104895,3.63528738773399,0.5155202924808093,0.22068868310260484
3.35,0.5060613005071427,0.440805197156014,3.656005288084821,0.5084485751666651,0.23220990382225412
3.4000000000000004,0.4931220491074499,0.43349236757770826,3.675696257962031,0.527613460550165,0.26506719552069663
3.45,0.4807637519552519,0.42618314299182736,3.694341116967012,0.5071791608354127,0.25858104076900085
3.5,0.46779991267314713,0.41818583854706387,3.71139084127167,0.5198551572127914,0.292525499817354
3.5500000000000003,0.45413063863190345,0.40942815524302173,3.7276894258356577,0.5415666186719142,0.3242521578187457
3.6,0.44020324109124065,0.4001815152231154,3.7429352430543905,0.5474371445784011,0.34415958166196525
3.65,0.426499260000972,0.39077908222703267,3.757692508431062,0.5415660801462225,0.3448025417905981
3.7,0.41202449188442186,0.38053040491896334,3.772538779902224,0.5719265748728423,0.37397628859068405
3.75,0.397726108215184,0.3700845087572671,3.7860145389496553,0.562042132859109,0.38236534556002494
