time,x,y,theta,right_vel,left_vel
0.0,0.0,0.0,0.0,0.1148251706598807,0.1136342051963321
0.05,0.005711484392819882,2.0237680833730176e-07,0.00011909654635490052,0.1148342326535387,0.1136251431987583
0.1,0.011422968720148745,1.0900366378562872e-06,0.00024000549183290053,0.1148434075205259,0.1136159683274747
0.15,0.01713445289683292,2.6735525368707557e-06,0.0003627494111381,0.1148527707312764,0.1136066051121813
0.2,0.02284593683393231,4.963312268258533e-06,0.0004873659730476,0.1148623895548805,0.11359698628397
0.25,0.02855742043833256,7.970319146254285e-06,0.0006139063001386006,0.1148722667999608,0.1135871090342155
0.3,0.034268903612795394,1.1705544879798383e-05,0.0007424220767132004,0.1148823683482562,0.113577007481072
0.35,0.039980386255396745,1.618058314382565e-05,0.0008729581634316008,0.1148926132244731,0.1135667625994523
0.4,0.04569186825979668,2.1406918058796266e-05,0.0010055432259337008,0.1149031690431462,0.1135562067753701
0.45,0.05140334951467928,2.7396470713726576e-05,0.0011402394527113002,0.1149139852008311,0.113545390612174
0.5,0.057114829903623376,3.416143557078495e-05,0.0012770989115770005,0.1149251066761739,0.1135342691311624
0.55,0.0628263093048147,4.171432844912883e-05,0.0014161826660781,0.114936388430952,0.113522987370245
0.6000000000000001,0.06853778759070112,5.0068041295963837e-05,0.0015575227721488002,0.1149480297644326,0.1135113460304207
0.65,0.07424926462833027,5.9235456059318116e-05,0.0017011911455500003,0.1149599625392956,0.113499413248961
0.7000000000000001,0.07996074027778785,6.923028612837944e-05,0.0018472460745835003,0.1149721109126773,0.1134872648685687
0.75,0.08567221439350974,8.006607922304458e-05,0.0019957306789943003,0.1149846907557717,0.1134746850185532
0.8,0.09138368682261272,9.175704123048152e-05,0.0021467312527162,0.1149975614647434,0.1134618143021392
0.8500000000000001,0.09709515740509699,0.00010431770554061013,0.0023003059689766002,0.1150107314478801,0.113448644311127
0.9,0.10280662597353239,0.0001177629424835891,0.002456514682651901,0.1150242094072509,0.1134351663435361
0.95,0.10851809235271087,0.00013210796909639538,0.0026154189890234,0.1150381674232804,0.1134212083191189
1.0,0.11422955635928374,0.000147368359231095,0.0027771148994396007,0.115052424448067,0.1134069512855373
1.05,0.11994101780030894,0.0001635604265724065,0.0029416622156925006,0.1150670402049886,0.1133923355192612
1.1,0.12565247647503008,0.00018070042799385325,0.0031091326842653004,0.1150821765094173,0.1133771992054461
1.15,0.1313639321718293,0.0001988054966371533,0.003279630414662401,0.1150976361572637,0.1133617395474799
1.2000000000000002,0.13707538466934202,0.0002178930785052515,0.0034532200756408,0.1151135863609652,0.1133457893331179
1.25,0.142786833735706,0.0002379810453319273,0.0036299997784255003,0.1151299396781987,0.1133294360046165
1.3,0.14849827912709906,0.0002590879637129573,0.003810050145783701,0.1151467615252965,0.1133126141455954
1.35,0.1542097205888828,0.00028123262619564413,0.0039934648837538006,0.1151641115604389,0.1132952640982349
