time,x,y,theta,left_vel,right_vel
0.0,1.0,0.0,1.5786512774347865,0.2748134507401571,0.3534211118374024
0.05,0.9998766324816606,0.015705379539064146,1.586512043544511,0.25496285533267526,0.37301988913183237
0.1,0.9995065603657316,0.03139525976465669,1.602262684194618,0.23471481496178964,0.39257124971180185
0.15000000000000002,0.99888987496197,0.04705415665925716,1.6180833304945135,0.23369677967736302,0.3924302592784028
0.2,0.9980267284282716,0.06266661678215213,1.6340093801148259,0.2322709814930783,0.39223785463627187
0.25,0.996917333733128,0.07821723252011543,1.6500767051231522,0.23043687713561795,0.39199903131573727
0.30000000000000004,0.99556196460308,0.09369065729286231,1.6663218109508497,0.22819377717020428,0.39172023053429883
0.35000000000000003,0.9939609554551797,0.10907162069827127,1.682781995795971,0.22554085492979192,0.3914093511982428
0.4,0.9921147013144779,0.1243449435824274,1.69949551020454,0.2224771599274557,0.3910757624439533
0.45,0.9900236577165575,0.13949555301961464,1.7165017162992706,0.21900163743290513,0.39073031524867075
0.5,0.9876883405951378,0.1545084971874737,1.733841245767693,0.2151131563715038,0.39038535118819956
0.55,0.9851093261547739,0.1693689601226457,1.7515561552626098,0.21081054827305729,0.3900547058663408
0.6000000000000001,0.9822872507286887,0.184062276342339,1.7696900772863497,0.20609266067667537,0.3897537038655939
0.65,0.9792228106217657,0.1985739453173903,1.7882883639003935,0.20095842920510193,0.3894991412483189
0.7000000000000001,0.9759167619387474,0.21288964578253633,1.8073982196949931,0.1954069734722716,0.3893092506510984
0.75,0.9723699203976766,0.22699524986977337,1.8270688193361588,0.189437723094868,0.38920364284149195
0.8,0.9685831611286311,0.24087683705085766,1.847351403644318,0.18305058134496438,0.38920321723336576
0.8500000000000001,0.9645574184577981,0.25452070787518566,1.868299346513839,0.17624613539716627,0.3893300322819211
0.9,0.9602936856769431,0.26791339748949833,1.889968183021269,0.16902592365518143,0.38960712492222305
0.9500000000000001,0.9557930147983301,0.2810416889260653,1.9124155867672474,0.16139277222126946,0.390058266325929
1.0,0.9510565162951535,0.29389262614623657,1.9357012818422008,0.1533512140758499,0.39070763933046554
1.05,0.9460853588275453,0.30645352682648824,1.9598868718181706,0.14490800576745488,0.39157942111530264
1.1,0.9408807689542255,0.3187119948743449,1.9850355649117704,0.13607275708010685,0.3926972533299223
1.1500000000000001,0.9354440308298673,0.33065593266182597,2.0112117710681336,0.12685868881854867,0.39408358131805665
1.2000000000000002,0.9297764858882513,0.34227355296434436,2.038480543411672,0.11728353194527597,0.3957588448942496
1.25,0.9238795325112867,0.3535533905932738,2.0669068336579284,0.1073705770467227,0.39774050606396283
1.3,0.9177546256839811,0.3644843137107058,2.09655452921512,0.09714987554581553,0.40004190508667326
1.35,0.9114032766354453,0.37505553481522974,2.1274852395661,0.08665958211806377,0.4026709464785305
1.4000000000000001,0.9048270524660196,0.3852566213878946,2.1597568020872133,0.07594741027787652,0.40562863212404854
1.4500000000000002,0.8980275757606156,0.3950775061878452,2.1934214839353343,0.06507214913414217,0.4089074806711013
1.5,0.8910065241883679,0.4045084971874737,2.228523868394605,0.0541051584654966,0.41248990140363917
1.55,0.8837656300886935,0.4135402871372809,2.265098432522963,0.04313172219353231,0.4163466264314475
1.6,0.8763066800438636,0.42216396275100754,2.303166849242188,0.0322520994176895,0.42043534528820203
1.6500000000000001,0.8686315144381913,0.43037101350197177,2.3427350816970653,0.021582072226106863,0.42469972653563515
1.7000000000000002,0.8607420270039436,0.43815334002193185,2.383790380104094,0.011252758264204049,0.429069044497694
1.75,0.8526401643540923,0.4455032620941839,2.4262983389437633,0.0014094442114191696,0.4334586456228344
1.8,0.8443279255020151,0.4524135262330098,2.470200220386377,-0.007790783505914195,0.4377714759861263
1.85,0.8358073613682703,0.45887731284199057,2.5154107908421715,-0.01618277013466285,0.4419008371159583
1.9000000000000001,0.8270805742745618,0.4648882429441257,2.561816941836501,-0.023598429382242853,0.44573443365832954
1.9500000000000002,0.8181497174250234,0.4704403844771128,2.609277363450286,-0.029873162421622967,0.4491596240773378
2.0,0.8090169943749475,0.47552825814757677,2.6576234991362933,-0.034853234615099205,0.45206959838916266
2.0500000000000003,0.7996846584870905,0.4801468428384716,2.7066619300511383,-0.038403579855152276,0.45437001346248684
2.1,0.7901550123756904,0.48429158056431554,2.756178217799821,-0.04041533551102697,0.4559854572811507
2.15,0.7804304073383298,0.48795838096937366,2.805942088609574,-0.04081232879234195,0.4568650326447302
2.2,0.7705132427757891,0.49114362536434436,2.8557136900872355,-0.039555773387451004,0.4569863822059337
2.25,0.7604059656000309,0.4938441702975689,2.9052505197282508,-0.03664660465583386,0.45635763158080883
2.3000000000000003,0.7501110696304595,0.49605735065723894,2.954314537334564,-0.03212516116860731,0.4550169856776194
2.35,0.7396310949786097,0.49778098230154,3.002678949097496,-0.026068258561813468,0.45303002673853876
2.4000000000000004,0.7289686274214116,0.4990133642141358,3.0501341943946345,-0.018584030154479292,0.4504850661379811
2.45,0.7181262977631888,0.4997532801828658,3.096492768355988,-0.009805162116697269,0.4474871338590958
2.5,0.7071067811865476,0.5,3.141592653589793,0.00011871480617098307,0.44415130861132135
2.5500000000000003,0.6959127965923142,0.4997532801828658,3.1852992871170183,0.011028711923825318,0.44059608718003324
2.6,0.6845471059286886,0.4990133642141358,3.2275061286410347,0.02276379153461222,0.4369373827920107
2.6500000000000004,0.6730125135097733,0.49778098230154,3.268134005368498,0.035166823464519714,0.4332835675578395
2.7,0.6613118653236519,0.49605735065723894,3.3071294774596987,0.04808932188681794,0.4297317776702021
