0,0.5,0,0,0,0,-0,0,0
0.050042,0.604715,0,-0.005238,0.104805,-0.000275,-0.005241,2.066548,2.122069
0.100083,0.709416,-0.000548,-0.010478,0.209599,-0.001098,-0.010482,2.066276,2.121824
0.150125,0.814092,-0.001645,-0.015722,0.314369,-0.002471,-0.015727,2.065826,2.121411
0.200167,0.91873,-0.003291,-0.02097,0.419106,-0.004394,-0.020975,2.065199,2.120832
0.250209,1.023318,-0.005484,-0.026224,0.523796,-0.006865,-0.026229,2.064393,2.120086
0.30025,1.127847,-0.008226,-0.031485,0.628428,-0.009885,-0.031489,2.06341,2.119174
0.350292,1.232304,-0.011516,-0.036754,0.732992,-0.013455,-0.036757,2.062248,2.118098
0.400334,1.336678,-0.015354,-0.042032,0.837475,-0.017573,-0.042034,2.060909,2.116856
0.450375,1.440956,-0.019739,-0.047321,0.941866,-0.02224,-0.047321,2.059392,2.115451
0.500417,1.545129,-0.024673,-0.052621,1.046153,-0.027455,-0.05262,2.057697,2.113882
0.550459,1.649184,-0.030153,-0.057935,1.150326,-0.033219,-0.057932,2.055826,2.11215
0.6005,1.753111,-0.036181,-0.063263,1.254372,-0.039531,-0.063259,2.053779,2.110256
0.650542,1.856896,-0.042755,-0.068607,1.358281,-0.046392,-0.068601,2.051555,2.108199
0.700584,1.960531,-0.049877,-0.073967,1.46204,-0.0538,-0.07396,2.049157,2.105982
0.750626,2.064002,-0.057544,-0.079347,1.565639,-0.061756,-0.079338,2.046584,2.103605
0.800667,2.167298,-0.065758,-0.084746,1.669065,-0.07026,-0.084736,2.043837,2.101068
0.850709,2.270409,-0.074517,-0.090166,1.772309,-0.079311,-0.090154,2.040917,2.098373
0.900751,2.373323,-0.083821,-0.095609,1.875357,-0.088909,-0.095596,2.037825,2.09552
0.950792,2.476028,-0.093671,-0.101076,1.9782,-0.099053,-0.101061,2.034561,2.09251
1.000834,2.578514,-0.104065,-0.106568,2.080825,-0.109745,-0.106551,2.031127,2.089345
1.050876,2.68077,-0.115004,-0.112087,2.183222,-0.120982,-0.112069,2.027524,2.086025
1.100917,2.782783,-0.126486,-0.117634,2.285379,-0.132766,-0.117614,2.023751,2.082552
1.150959,2.884543,-0.138512,-0.123211,2.387285,-0.145095,-0.12319,2.019812,2.078927
1.201001,2.98604,-0.151082,-0.128819,2.488929,-0.157969,-0.128796,2.015706,2.075152
1.251043,3.08726,-0.164193,-0.13446,2.590299,-0.171388,-0.134435,2.011435,2.071227
1.301084,3.188195,-0.177847,-0.140135,2.691385,-0.185352,-0.140108,2.007001,2.067154
